id,item_name,image_url,url,description,group_ids,metadata:price,metadata:brand,metadata:gender
AA-10001,Alpine Tank,data/generated_images/alpine-tank.jpg,https://aura-alpine.com/products/alpine-tank,The Alpine Tank from Alpine Tech — premium apparel built for everyday adventure.,accessories,88.5,Alpine Tech,Unisex
AA-10002,Aura Tank,data/generated_images/aura-tank.jpg,https://aura-alpine.com/products/aura-tank,The Aura Tank from Aura & Alpine — premium apparel built for everyday adventure.,mens,115.77,Aura & Alpine,Men
AA-10003,Alpine Shirt,data/generated_images/alpine-shirt.jpg,https://aura-alpine.com/products/alpine-shirt,The Alpine Shirt from Alpine Tech — premium apparel built for everyday adventure.,mens,53.88,Alpine Tech,Men
AA-10004,Aura Polo,data/generated_images/aura-polo.jpg,https://aura-alpine.com/products/aura-polo,The Aura Polo from Aura & Alpine — premium apparel built for everyday adventure.,mens,90.19,Aura & Alpine,Men
AA-10005,Summit Blouse,data/generated_images/summit-blouse.jpg,https://aura-alpine.com/products/summit-blouse,The Summit Blouse from Summit Style — premium apparel built for everyday adventure.,womens,53.17,Summit Style,Women
AA-10006,Urban Hoodie,data/generated_images/urban-hoodie.jpg,https://aura-alpine.com/products/urban-hoodie,The Urban Hoodie from Urban Peak — premium apparel built for everyday adventure.,accessories,152.94,Urban Peak,Unisex
AA-10007,Alpine Pants,data/generated_images/alpine-pants.jpg,https://aura-alpine.com/products/alpine-pants,The Alpine Pants from Alpine Tech — premium apparel built for everyday adventure.,accessories,15.91,Alpine Tech,Unisex
AA-10008,Alpine Cinder Leggings,data/generated_images/alpine-cinder-leggings.jpg,https://aura-alpine.com/products/alpine-cinder-leggings,The Alpine Cinder Leggings from Alpine Tech — premium apparel built for everyday adventure.,accessories,107.0,Alpine Tech,Unisex
AA-10009,Urban Cap,data/generated_images/urban-cap.jpg,https://aura-alpine.com/products/urban-cap,The Urban Cap from Urban Peak — premium apparel built for everyday adventure.,womens,247.67,Urban Peak,Women
AA-10010,Aura Cargo Pants,data/generated_images/aura-cargo-pants.jpg,https://aura-alpine.com/products/aura-cargo-pants,The Aura Cargo Pants from Aura & Alpine — premium apparel built for everyday adventure.,womens,167.35,Aura & Alpine,Women
AA-10011,Aura Atlas Pants,data/generated_images/aura-atlas-pants.jpg,https://aura-alpine.com/products/aura-atlas-pants,The Aura Atlas Pants from Aura & Alpine — premium apparel built for everyday adventure.,mens,234.85,Aura & Alpine,Men
AA-10012,Alpine Shirt,data/generated_images/alpine-shirt.jpg,https://aura-alpine.com/products/alpine-shirt,The Alpine Shirt from Alpine Tech — premium apparel built for everyday adventure.,womens,107.76,Alpine Tech,Women
AA-10013,Urban Tank,data/generated_images/urban-tank.jpg,https://aura-alpine.com/products/urban-tank,The Urban Tank from Urban Peak — premium apparel built for everyday adventure.,womens,175.54,Urban Peak,Women
AA-10014,Summit Blouse,data/generated_images/summit-blouse.jpg,https://aura-alpine.com/products/summit-blouse,The Summit Blouse from Summit Style — premium apparel built for everyday adventure.,mens,163.88,Summit Style,Men
AA-10015,Summit North Joggers,data/generated_images/summit-north-joggers.jpg,https://aura-alpine.com/products/summit-north-joggers,The Summit North Joggers from Summit Style — premium apparel built for everyday adventure.,mens,235.7,Summit Style,Men
AA-10016,Aura Tee,data/generated_images/aura-tee.jpg,https://aura-alpine.com/products/aura-tee,The Aura Tee from Aura & Alpine — premium apparel built for everyday adventure.,accessories,92.36,Aura & Alpine,Unisex
AA-10017,Aura Cardigan,data/generated_images/aura-cardigan.jpg,https://aura-alpine.com/products/aura-cardigan,The Aura Cardigan from Aura & Alpine — premium apparel built for everyday adventure.,womens,123.43,Aura & Alpine,Women
AA-10018,Summit Sweater,data/generated_images/summit-sweater.jpg,https://aura-alpine.com/products/summit-sweater,The Summit Sweater from Summit Style — premium apparel built for everyday adventure.,mens,158.79,Summit Style,Men
AA-10019,Aura Polo,data/generated_images/aura-polo.jpg,https://aura-alpine.com/products/aura-polo,The Aura Polo from Aura & Alpine — premium apparel built for everyday adventure.,accessories,102.59,Aura & Alpine,Unisex
AA-10020,Alpine Polo,data/generated_images/alpine-polo.jpg,https://aura-alpine.com/products/alpine-polo,The Alpine Polo from Alpine Tech — premium apparel built for everyday adventure.,womens,226.26,Alpine Tech,Women
